movie,production_budget,domestic_gross_x,foreign_gross_x,year_x,title,domestic_gross_y,foreign_gross_y,year_y
J. Edgar,35000000,37306030,84606030,2011,J. Edgar,37300000.0,47600000,2011
Tower Heist,85000000,78046570,150422946,2011,Tower Heist,78000000.0,74900000,2011
A Very Harold & Kumar 3D Christmas,20000000,35061031,36265745,2011,A Very Harold & Kumar 3D Christmas,35100000.0,326000,2011
The Rum Diary,45000000,13109815,21544732,2011,The Rum Diary,13100000.0,10800000,2011
Like Crazy,250000,3395391,3728400,2011,Like Crazy,3400000.0,336000,2011
In Time,35000000,37553932,165103952,2011,In Time,37500000.0,136400000,2011
Puss in Boots,130000000,149260504,554987477,2011,Puss in Boots,149300000.0,405700000,2011
Anonymous,27500000,4463292,15815509,2011,Anonymous,4500000.0,10900000,2011
Paranormal Activity 3,5000000,104028807,207039844,2011,Paranormal Activity 3,104000000.0,103000000,2011
Margin Call,3400000,5353586,20433227,2011,Margin Call,5400000.0,14200000,2011
Johnny English Reborn,45000000,8406711,164640401,2011,Johnny English Reborn,8300000.0,151800000,2011
Martha Marcy May Marlene,1000000,2981038,5438911,2011,Martha Marcy May Marlene,3000000.0,548000,2011
Le Havre,5500000,611709,13480196,2011,Le Havre,612000.0,9900000,2011
The Big Year,41000000,7204138,7684524,2011,The Big Year,7200000.0,244000,2011
The Ides of March,23000000,40962534,77735925,2011,The Ides of March,41000000.0,35000000,2011
Real Steel,110000000,85463309,263880341,2011,Real Steel,85500000.0,213800000,2011
Blackthorn,4500000,200558,1217307,2011,Blackthorn,201000.0,423000,2011
Dream House,50000000,21302340,41642166,2011,Dream House,21300000.0,17200000,2011
Take Shelter,4750000,1728953,4972016,2011,Take Shelter,1700000.0,1400000,2011
50/50,8000000,35016118,41334735,2011,50/50,35000000.0,4200000,2011
What's Your Number?,20000000,14011084,30163785,2011,What's Your Number?,14000000.0,16399999,2011
Machine Gun Preacher,30000000,538690,3721988,2011,Machine Gun Preacher,539000.0,2800000,2011
Moneyball,50000000,75605492,111300835,2011,Moneyball,75600000.0,34600000,2011
Abduction,35000000,28087155,86648359,2011,Abduction,28100000.0,54000000,2011
Killer Elite,70000000,25124986,65409046,2011,Killer Elite,25100000.0,31300000,2011
Dolphin Tale,37000000,72286779,96068724,2011,Dolphin Tale,72300000.0,23100000,2011
I Don't Know How She Does It,24000000,9659074,24474463,2011,I Don't Know How She Does It,9700000.0,20900000,2011
Contagion,60000000,75658097,137551594,2011,Contagion,75700000.0,59800000,2011
Warrior,25000000,13657115,24215385,2011,Warrior,13700000.0,9400000,2011
Shark Night 3D,25000000,18877153,18877153,2011,Shark Night 3D,18900000.0,21300000,2011
Apollo 18,5000000,17686929,26517819,2011,Apollo 18,17700000.0,7900000,2011
The Debt,20000000,31177548,46604054,2011,The Debt,31200000.0,14500000,2011
Don't Be Afraid of the Dark,25000000,24046682,39126427,2011,Don't Be Afraid of the Dark,24000000.0,12900000,2011
Colombiana,40000000,36665854,72295262,2011,Colombiana,36700000.0,24300000,2011
Brighton Rock,11000000,229653,229653,2011,Brighton Rock,230000.0,1600000,2011
One Day,15000000,13843771,59168692,2011,One Day,13800000.0,45500000,2011
Spy Kids: All the Time in the World,27000000,38536376,80681183,2011,Spy Kids: All the Time in the World,38500000.0,47000000,2011
30 Minutes or Less,28000000,37053924,40966716,2011,30 Minutes or Less,37100000.0,3500000,2011
Final Destination 5,40000000,42587643,155011165,2011,Final Destination 5,42600000.0,115300000,2011
The Help,25000000,169705587,213120004,2011,The Help,169700000.0,46900000,2011
The Change-Up,52000000,37243418,75997067,2011,The Change-Up,37100000.0,38400000,2011
Rise of the Planet of the Apes,93000000,176760185,470986200,2011,Rise of the Planet of the Apes,176800000.0,305000000,2011
The Smurfs,110000000,142614158,563749323,2011,The Smurfs,142600000.0,421100000,2011
Attack the Block,13000000,1024175,6459183,2011,Attack the Block,1000000.0,4800000,2011
The Guard,6000000,5359774,21197454,2011,The Guard,5400000.0,14200000,2011
Captain America: The First Avenger,140000000,176654505,370569776,2011,Captain America: The First Avenger,176700000.0,193900000,2011
Another Earth,175000,1321194,2102779,2011,Another Earth,1300000.0,456000,2011
Friends with Benefits,35000000,55802754,146595891,2011,Friends with Benefits,55800000.0,93700000,2011
Snow Flower and the Secret Fan,6000000,1348205,11348205,2011,Snow Flower and the Secret Fan,1300000.0,10000000,2011
Winnie the Pooh,30000000,26692846,50145607,2011,Winnie the Pooh,26700000.0,23200000,2011
Zookeeper,80000000,80360866,170805525,2011,Zookeeper,80400000.0,89500000,2011
